N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
9,기아,"84,600","2,000",-2.31%,"5,000","342,937","405,363",36.97,"1,314,103",6.34,14.57,
10,POSCO홀딩스,"380,000","7,000",-1.81%,"5,000","321,371","84,571",40.85,"1,399,575",10.42,6.11,
11,NAVER,"191,500","3,300",+1.75%,100,"314,154","164,049",47.33,"779,641",41.32,3.29,
12,포스코퓨처엠,"336,500","3,500",-1.03%,500,"260,664","77,463",7.51,"1,625,028",220.37,4.87,
13,카카오,"58,000","2,200",+3.94%,100,"258,481","445,657",26.13,"2,847,487",19.10,13.54,
14,셀트리온,"160,500","2,700",-1.65%,"1,000","234,862","146,331",20.39,"399,805",43.65,13.35,
15,현대모비스,"217,000","4,500",-2.03%,"5,000","204,599","94,285",37.12,"237,246",8.25,6.80,
16,삼성물산,"109,200","2,100",+1.96%,100,"204,081","186,887",17.70,"279,845",10.07,7.16,
17,KB금융,"49,350","1,100",+2.28%,"5,000","199,133","403,511",72.80,"1,042,804",4.62,9.17,
18,LG전자,"108,900","1,200",+1.11%,"5,000","178,212","163,648",28.60,"707,160",16.46,6.61,
19,신한지주,"35,050",150,+0.43%,"5,000","177,040","505,108",62.37,"1,041,230",4.01,9.70,
20,SK이노베이션,"173,600","5,000",-2.80%,"5,000","160,520","92,466",24.73,"708,759",10.37,8.49,
21,LG,"87,400","1,100",+1.27%,"5,000","137,481","157,301",35.82,"141,430",7.08,8.48,
22,삼성생명,"66,200","1,400",+2.16%,500,"132,400","200,000",15.65,"176,563",8.36,5.73,
23,하나금융지주,"41,900",250,+0.60%,"5,000","123,984","295,903",70.83,"804,925",3.51,10.06,
24,한국전력,"18,730",20,-0.11%,"5,000","120,240","641,964",14.42,"910,043",-0.49,-46.91,
25,SK,"162,500",600,+0.37%,200,"118,947","73,198",23.31,"121,043",11.05,5.13,
26,KT&G,"85,500",800,+0.94%,"5,000","117,385","137,292",44.57,"150,065",11.56,11.00,
27,하이브,"270,000","6,000",+2.27%,500,"112,441","41,645",17.40,"230,344",213.44,1.87,
28,삼성전기,"143,600","2,300",+1.63%,"5,000","107,260","74,694",29.58,"427,504",11.36,13.76,
29,두산에너빌리티,"16,650",280,-1.65%,"5,000","106,653","640,561",12.77,"6,550,256",-13.35,-11.70,
30,삼성화재,"224,000",500,+0.22%,500,"106,120","47,375",52.17,"52,916",8.85,9.70,
31,카카오뱅크,"22,050",0,0.00%,"5,000","105,127","476,767",13.45,"885,521",39.87,4.68,
32,SK텔레콤,"47,500",150,+0.32%,100,"103,946","218,833",44.25,"344,858",11.39,7.97,
33,고려아연,"514,000","3,000",-0.58%,"5,000","102,097","19,863",21.64,"39,755",12.67,9.38,
34,HMM,"20,550",550,+2.75%,"5,000","100,498","489,039",11.24,"1,380,803",1.00,64.98,
35,HD현대중공업,"109,600","4,000",+3.79%,"5,000","97,295","88,773",6.49,"246,501",-27.63,-6.47,
36,LG생활건강,"622,000","4,000",+0.65%,"5,000","97,145","15,618",34.83,"110,990",46.58,4.41,
37,메리츠금융지주,"45,650","1,850",+4.22%,500,"95,051","208,218",17.02,"817,670",5.60,30.32,
38,크래프톤,"191,400","2,300",+1.22%,100,"94,240","49,237",30.51,"107,890",18.78,10.29,
39,삼성에스디에스,"116,900",600,+0.52%,500,"90,455","77,378",15.45,"128,490",8.22,14.23,
40,우리금융지주,"11,710",90,+0.77%,"5,000","85,256","728,061",39.58,"1,765,111",2.71,11.51,
41,S-Oil,"74,600","1,700",+2.33%,"2,500","83,987","112,583",79.12,"351,333",4.13,27.20,
42,대한항공,"22,750",100,+0.44%,"5,000","83,770","368,221",15.09,"662,277",4.74,21.95,
43,엔씨소프트,"377,500","14,500",+3.99%,500,"82,876","21,954",45.41,"103,716",19.02,13.73,
44,한화솔루션,"48,000","3,200",-6.25%,"5,000","82,508","171,893",24.62,"4,825,140",25.75,4.21,
45,기업은행,"10,040",20,-0.20%,"5,000","80,062","797,426",13.89,"975,452",2.89,9.85,
46,KT,"30,000",100,+0.33%,"5,000","78,334","261,112",40.44,"564,854",6.20,7.99,
47,카카오페이,"54,600","1,600",-2.85%,500,"73,112","133,905",43.34,"455,331",134.15,3.08,
48,아모레퍼시픽,"123,500","3,300",+2.75%,500,"72,239","58,493",24.71,"229,631",63.43,2.81,
49,롯데케미칼,"168,500",900,+0.54%,"5,000","72,077","42,775",24.23,"87,992",98.60,0.43,
50,LG이노텍,"263,500","2,000",-0.75%,"5,000","62,363","23,667",20.95,"132,774",6.36,25.85,
